idx,question,gold_answer,predicted_answer,is_correct,num_steps,num_rag_steps,initial_mc,final_mc,has_citation
28,Are both The New Pornographers and Kings of Leon American rock bands?,no,"No, The New Pornographers are a Canadian rock band while Kings of Leon is an American rock band",True,7,1,1.0,1.0,True
29,"750 7th Avenue and 101 Park Avenue, are located in which city?",New York City,New York City,True,4,2,1.0,1.0,False
30,"Which actress played the part of fictitious character Kimberly Ann Hart, in the franchise built around a live action superhero television series taking much of its footage from the Japanese tokusatsu 'Super Sentai'?",Amy Jo Johnson,Nichole Hiltz,False,5,1,0.25,0.0,True
31,"Who was born first, Pablo Trapero or Aleksander Ford?",Aleksander Ford,"Aleksander Ford was born first, in 1908, compared to Pablo Trapero, who was born in 1971",True,5,2,0.438,1.0,True
32,Are Jane and First for Women both women's magazines?,yes,Yes,True,8,4,1.0,1.0,True
33,What profession does Nicholas Ray and Elia Kazan have in common?,director,film director,True,4,1,1.0,1.0,True
34,Where is the company that purchased Aixam based in?,"Roseau, Minnesota, USA","Roseau, Minnesota, United States",False,4,1,0.0,0.0,True
35,"Which documentary is about Finnish rock groups, Adam Clayton Powell or The Saimaa Gesture?",The Saimaa Gesture,The Saimaa Gesture,True,4,0,0.969,1.0,False
36,"Who was inducted into the Rock and Roll Hall of Fame, David Lee Roth or Cia Berg?",David Lee Roth,David Lee Roth,True,5,0,1.0,0.875,False
37,Zimbabwe's Guwe Secondary School has a sister school in what New York cunty?,Nassau County,Nassau,False,5,1,0.0,0.844,True
38,"The Royal Commission into Drug Trafficking (1977–1979) or Woodward Royal Commission was a royal commission initiated by the New South Wales Government to investigate drug trafficking in New South Wales, Australia, especially links between the New South Wales Police and Mafia, The Honoured Society, is a Calabrian 'Ndrangheta criminal confederation, started in Melbourne and currently active in all of which country?  ",Australia,Australia,True,4,0,0.531,0.875,False
39,"The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base, a former United States Air Force base located in the North Highlands area of Sacramento County, in which US state?",California,California,True,4,0,1.0,1.0,False
40,The axial turbojet Pirna 014 was designed by engineers from this German aircraft and aircraft engine manufacturer based in which city?,Dessau,Pirna,False,4,1,0.375,0.0,True
41,"Which faith is designated to the University of Providence, private university accredited by the NW association of Schools and Colleges and located in a third largest city in Montana after being passed by Missoula? ",Roman Catholic,Roman Catholic,True,6,0,0.438,1.0,False
42,Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?,The Joshua Tree,The Unforgettable Fire,False,5,1,0.0,0.0,True
43,Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?,Ulster County,Ulster County,True,4,1,0.125,1.0,True
44,"What American country music singer-songwriter, born in May of 1942, sang a duet with her ex-husband the same year that he released the song ""The Battle?""",Tammy Wynette,Tammy Wynette,True,6,2,0.438,1.0,True
45,"Who was born first, Francis Nethersole or Elizabeth Stuart?",Sir Francis Nethersole,"Francis Nethersole was born first, in 1587, compared to Elizabeth Stuart,",True,3,1,0.188,1.0,True
46,What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?,ingredients in beer,by summarizing the specific limitations,False,8,3,0.062,0.906,True
47,"Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI), which other member that's Welsh, that died on 10 April 2016?",Dennis Howard Marks,No relevant information found,False,6,1,0.0,0.0,False
48,What male actor starred in The Messenger?,Robert Sheehan,Ben Foster,False,4,1,0.0,0.0,True
49,Are Gin and tonic and Paloma both cocktails based on tequila?,no,"Gin and tonic is not a tequila-based cocktail, while Paloma is a tequila-based cocktail",False,9,4,0.5,0.75,True
50,Who is older Glenn Hughes or Ross Lynch?,Glenn Hughes,Glenn Hughes,True,5,0,1.0,1.0,False
51,"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?","March 28, 1941",1932,False,4,1,0.0,0.0,True
52,The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?,standard gauge track,standard gauge track,True,5,2,0.156,0.938,True
53,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,Sex and the City,Sex and the City,True,4,1,1.0,0.875,True
54,"Lee Jun-fan played what character in ""The Green Hornet"" television series?",Kato,Kato,True,4,0,1.0,1.0,False
55,"The 1895/96 Football League season was the eighth in Football League history with Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in which country?",England,England,True,4,0,0.875,0.875,False
56,"A Head Full of Dreams Tour is the seventh tour by Coldplay, and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?",Province of Buenos Aires,to the question,False,4,2,0.0,0.781,True
57,"Roger Avary (born August 23, 1965) is a Canadian film and television producer, screenwriter and director in the American mass media industry, he wrote the screenplay for Beowulf, a 2007 British-American 3D motion capture epic fantasy film, directed by who?",Robert Zemeckis,Robert Zemeckis,True,4,0,1.0,1.0,False
58,"The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?",1932,1935,False,6,1,0.0,0.0,False
59,"An edited version of ""Just the Two of Us"" reached number two on the ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the ""Billboard"" hot 100?",nine,3,False,5,1,0.0,0.0,False
60,"Which band has more members, Saint Motel or Curve?",Saint Motel,"Both Saint Motel and Curve have 4 members each, so neither has more members than the other",True,5,0,0.688,0.875,False
61,"""Funnybot"" is the second episode of the fifteenth season of which American animated television series, created by Trey Parker and Matt Stone?  ",South Park,South Park,True,5,1,1.0,1.0,False
62,"Which private research university is located in Chestnut Hill, Massachusetts Boston College or Stanford University? ",Boston College,Boston College,True,6,0,1.0,1.0,False
63,"What American stage, film, and television actor  who also appeared in a large number of musicals, played Samson in the 1949 film ""Samson and Delilah"".",Victor John Mature,Victor Mature,False,4,1,0.0,0.0,True
64,Iqaluit Airport and Canadian North are based out of what country?,Canada,Canada,True,4,0,1.0,1.0,False
65,In what political party was the man who officially opened he Royal Spa Centre in 1972?,Conservative,Conservative Party,True,6,1,0.625,0.938,True
66,Which Oscar-nominated film was written by the screenwriter who wrote a 1991 romantic drama based upon a screenplay by Sooni Taraporevala?,Salaam Bombay,My Name is Khan,False,5,1,0.0,0.0,False
67,Are both Tim McIlrath and Spike Slawson American punk rock musicians?,yes,Yes,True,5,0,0.938,1.0,False
68,"The Golden Globe Award winner for best actor from ""Roseanne"" starred along what actress in Gigantic?",Zooey Deschanel,Kim Basinger,False,4,1,0.0,0.0,False
69,"The expert mentor to the celebrities that perform on ""Splash!"" won the 2009 FINA World Championionship in the individual event at what age? ",15,17,False,3,1,0.0,0.0,True
70,"Still Da Baddest is the fourth studio album by American rapper Trina, following the poor chart performance, ""I Got a Thang for You"" featuring which American singer/songwriter, record producer, business woman, and television personality, and was born in Oakland, California?",Keyshia Cole,Keyshia Cole,True,4,1,0.0,0.844,True
71,What profession does Am Rong and Alexandre Rockwell have in common?,filmmaker,filmmaker and director,True,3,0,0.281,0.812,False
72,El Nuevo Cojo and Golf Magazine are both special interest publications but which one is owned by Time Inc?,Golf Magazine,Golf Magazine is owned by Time Inc,True,6,2,1.0,1.0,True
73,Who funds the bowling team that includes the school bus driver for Springfield Elementary School?,Mr. Burns,"school funds, local community donations, and PTA contributions",False,5,1,0.125,0.0,False
74,What city are George Washington University Hospital and MedStar Washington Hospital Center located in?,"Washington, D.C.","Washington, D.C",True,5,1,1.0,1.0,True
75,what is the connection between Peter O'Meara and Norman Dike?,Band of Brothers,"Thought: Since the searches did not provide any information about collaborations or interactions between Peter O'Meara and Norman Dike beyond the portrayal of the character in ""Band of Brothers,"" I need to consider if there are other potential connections. However, based on the information provided, the most accurate statement is that Peter O'Meara played the role of Norman Dike in the TV series ""Band of Brothers.""",True,4,1,0.0,0.906,True
76,"What author has contributed to such works as ""New Statesmen"", ""The Nation"", and ""The Atlantic"", among others, while also being being associated with Dysteleology?",Christopher Hitchens,John Gray,False,4,1,0.094,0.0,False
77,Who developed the prototype pacemaker used by the 34th President of the USA?,R Adams Cowley,Wilson Greatbatch,False,5,1,0.0,0.0,True
78,Which publishing company has published Bizarre and a sister publication devoted to the anomalous phenomena popularised by Charles Fort?,Dennis Publishing,Dennis Publishing,True,4,1,0.0,0.875,True
79,"Who performed the lead single on the album Friends in Low Places, No Fences, that reached #1 on Billboard?",Garth Brooks,Garth Brooks,True,4,1,0.938,1.0,True
80,Hate to Feel is the tenth track on what Alice in Chains' album that peaked as number six on the Billboard 200?,Dirt,Dirt,True,4,1,0.125,1.0,True
81,"The lead singer and guitarist in the Portland, Oregon rock band consisting of John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk, goes by what alias?",The Fantastic The,The Wild Sax Band,False,4,1,0.0,0.0,True
82,What year was the winner of the 2016 Marrakesh ePrix born?,1988,1987,False,6,1,0.062,0.0,True
83,"South Korean actor Kim Yool-ho starred in what 2016 movie directed by Yeon Sang-ho Yeon Sang-ho and starring actors Gong Yoo, Jung Yu-mi, and Ma Dong-seok?",Train to Busan,Train to Busan,True,5,1,0.844,0.875,True
84,According to the 2006 census what is the population of the city in which James Iroha Uchechukwu was born ?,"722,664",3.3 million,False,4,1,0.0,0.0,True
85,What actor in the film D.C. Cab also had a role in the TV series Barney Miller?,Max Gail,Ron Carey,False,5,3,0.0,0.0,True
86,Which industry do Richard Hawley and Chicago's Catherine belong to? ,rock band,"I can now determine the industries they belong to.

Action: Finish[answer=""Richard Hawley belongs to the music industry, while Chicago's Catherine is a memoir, thus belonging to the literature industry.""]",False,6,1,0.031,0.0,True
87,Are Pam Veasey and Jon Jost both American?,yes,"Yes, both Pam Veasey and Jon Jost are American",True,4,2,0.5,1.0,True
88,Maurice Hines and his brother were famous for what?,dancer Gregory Hines,". Action: Finish[answer=""Maurice Hines and his brother Gregory Hines were",False,4,1,0.0,0.0,True
89,Are the New Orleans Outfall Canals the same length as the Augusta Canal?,yes,"No, the total length of the New Orleans Outfall Canals (approximately 18.5 miles or 29.8 kilometers) is not the same as the length of the Augusta Canal (approximately 4.5 miles or 7.2 kilometers)",False,9,1,0.0,0.0,True
90,In which stadium do the teams owned by Myra Kraft's husband play?,Gillette Stadium,Gillette Stadium,True,6,2,0.062,0.781,True
91,What southern California based band covered Blue Öyster Cult's Godzilla?,Fu Manchu,moe,False,4,2,0.0,0.0,True
92,"The Swedish-British entertainment studio executive and film executive producer, who was the Executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serve?",CEO of Lionsgate UK & Europe,The Swedish-British entertainment studio executive and film executive producer who,False,5,1,0.0,0.0,False
93,"an Emmy Award winner and two-time Tony Award winner, was on the episode 15 of the third season of ""Chuck"". what is her name ?",Swoosie Kurtz,Yvonne Strahovski,False,5,1,0.0,0.0,False
94,"What is the current name of the Atlanta Mansion built for the daughter of the 41st Mayor of Atlanta, Georgia?",Lullwater Estate,W. W. Cook House,False,9,1,0.0,0.0,True
95,Who invented the type of script used in autographs?,the Sumerians,"The script used in autographs evolved from Roman and Greek scripts over time, and no specific individual is credited with its invention",False,5,1,0.0,0.0,False
96,Approximately what percentage of the global population is made up of the ethnic group Princess Fragrant was produced to improve relations with?,17%,0.14%,False,5,1,0.031,0.0,True
97,The Boren-McCurdy proposals were partially brought about by which Oklahoma politician in 1992?,David Lyle Boren,Lyle Boren,False,5,1,0.0,0.0,True
98,The Thoen Stone is on display at a museum in what county?,Lawrence County,Lawrence,False,4,1,0.0,1.0,True
99,"Is Children's National Medical Center or MedStar Washington Hospital Center the largest private hospital in Washington, D.C.?",MedStar Washington Hospital Center,Step 3:,False,4,0,0.875,0.938,False
100,"Prince William, Duke of Gloucester and Prince George of Denmark, were eventually monarchs of which Kingdom?",Great Britain,Great Britain and Ireland,True,3,1,0.312,0.562,True
101,"The airline operating in Whitehorse, Yukon handled how many passengers in 2012?","294,000","294,000",True,4,1,0.0,0.938,True
102,"What State has a Disney Resort & Spa that is a beachside hotel, resort and vacation destination offering complimentary children's activities and programs and that Djuan Rivers was a General Manager at?",Hawaii,Hawaii,True,5,1,0.0,0.938,True
103,Are Wenling and Xinzheng both in China?,yes,"Yes, both Wenling and Xinzheng are in China",True,4,0,0.562,0.75,False
104,What is the birth date of the coach of the 2014-15 Michigan Wolverines men's basketball team?,"February 5, 1953","August 14, 1960",False,4,1,0.0,0.0,True
105,"Which organization presents the award in which Chris Noonan was nominated for his work in ""Babe?""",Academy of Motion Picture Arts and Sciences,Academy of Motion Picture Arts and Sciences,True,5,1,1.0,0.875,True
106,Where is the base of one of the three main British intelligence agencies?,Cheltenham,"King Charles III Centre in London, United Kingdom",False,4,1,0.125,0.0,True
107,"When a Man Falls in Love, is a 2013 South Korean television series, starring Song Seung-heon, Shin Se-kyung, Chae Jung-an, and which South Korean actor, born on ? ","July 5, 1984","Yeon Woo-jin, born on January 14, 1983",False,4,1,0.0,0.0,True
108,What retailer is the second-largest in the United States and has a commercial featuring the American artist who was 1st runner-up in the 2005 USA Weekend Magazine's songwriting competition?,Target Corporation,"Target is the second-largest retailer in the United States, but",False,4,1,0.0,0.0,True
109,"Which English actor of stage, film and television from the 1978 BBC drama ""Pennies From Heaven"" appeared in the 2006 BBC Four television play ""Kenneth Williams: Fantabulosa!?""",Cheryl Campbell,"Thought: To identify the English actor who appeared in both ""Pennies From Heaven"" (1978) and ""Kenneth Williams: Fantabulosa!"" (2006), I need to find the common actor in the casts of these two productions",False,2,1,0.0,0.094,True
110,Who hosted both Miss USA 1968 and The Price Is Right?,Bob Barker,Bob Barker,True,6,2,0.125,1.0,True
111,What video game published by Sierra Entertainment includes an antagonist figure who's mystery is the core of the series? ,F.E.A.R.,"Thought: Based on the information found, I need to confirm that Count Basco from the King's Quest series is indeed the antagonist whose mystery is the core of the series",False,4,1,0.0,0.0,True
112,Close to the Enemy starred the English actor known as Ash Morgan in what BBC series?,Hustle,No English actor known,False,9,4,0.0,0.0,True
113,The Bass Rock Lighthouse was next to what Castle?,Tantallon Castle,The Bass Rock Lighthouse was next to the 13th-century keep or governor's house,False,3,1,0.031,0.0,True
114,"Gülhane Park and Zografeion Lyceum, are located in which country?",Turkey,Turkey and Greece,True,6,0,1.0,0.625,False
115,"What is the name of the movie in which Edwin Brown plays a man that executed at least 400 people, including William Joyce and John Amery?",10 Rillington Place,The question,False,6,1,0.0,0.0,False
116,What genre of music is the solo artist that contributed to Real Damage a variant of?,synth-pop,Final Answer: Post-punk revival and indie rock,False,4,1,0.0,0.0,False
117,Jake David Shapiro was best know for being the screenwriter of a film directed by who?,Roger Christian,Adam Sandler,False,5,1,0.0,0.0,False
118,"What book contains a poem which, along with ""Beowulf"" and the ""Anglo-Saxon Chronicle"", preserves a legendary list of the kings of the Angles?",Exeter Book,The Exeter Book,True,5,0,0.312,0.938,False
119,Norbert Holm was arrested and later demoted because of his Chief of Operations association with a military theorist popularly known as what?,the Desert Fox,The Drillmaster of Valley Forge,False,4,1,0.0,0.0,False
120,What state does Sang-Wook Cheong work as a materials scientist?,New Jersey,New Jersey,True,4,1,0.0,1.0,True
121,What type of vegetation does Kniphofia and Baptisia have in common?,plant,angiosperms,False,6,1,0.0,0.0,True
122,"Californian rock band Lit recorded A Place in the Sun in 1995, but what's their best known song?",My Own Worst Enemy,My Own Worst Enemy,True,7,3,0.281,1.0,False
123,"Gary Harrison, began his career in the 1970s and has written over how many major-label recorded songs including several number-one hits, another artist who have recorded his work include Bryan White, an American country music artist?",300,"Gary Harrison has written over 300 major-label recorded songs including several number-one hits, and Bryan White, an American country music artist, has recorded his work",True,4,1,0.188,0.875,True
124,The 1976 German Grand Prix was won by a driver who retired in what year?,1979,1983,False,4,1,0.0,0.0,True
125,What event at the Asian Junior Athletics Championships has men and women competing at the same time?,3000 metres steeplechase,"Based on the available information, there are no specific mixed",False,5,4,0.0,0.0,True
126,Which 1999 French Open - Women's Doubles runner-up was born in Russia on 7 June 1981?,Anna Kournikova,No player,False,4,1,0.188,0.0,True
127,What is the length of the River which has Wild Horse Creek as a tributary ?,375 mi long,505 kilometers,False,5,1,0.0,0.0,True
128,Are Manhattan West and Singer Building both projects in New York?,yes,Yes,True,6,0,0.969,0.875,False
129,Who is the American internet entrepreneur who founded the company featured on 24 Hours on Craigslist?,Craig Newmark,Craig Newmark,True,5,0,0.375,0.938,False
130,"Between two tennis players Kim Clijsters and Mary Pierce, who is older?",Mary Pierce,Mary Pierce,True,4,0,1.0,1.0,False
131,Which American college that has sent students to Centre for Medieval and Renaissance Studies was founded in 1874?,St. Olaf College,Thought: I need to find an American college that was founded in 1874 and has sent students to the Centre for Medieval and Renaissance Studies,False,4,3,0.0,0.031,True
132,"Hot Coffee, Mississippi sometimes shares a zipcode with a nearby city with what population at the 2010 census?","2,586","1,142",False,4,1,0.0,0.0,True
133,Jo Ann Terry won the 80m hurdles event at what Sao Paulo-based event from 1963?,Pan American Games,XVII Pan American Games,True,4,0,0.688,1.0,False
134,"Pearl Lowe and Alison Goldfrapp, is of which nationality?",English,English,True,5,0,0.438,1.0,False
135,Which British company whose majority of its business interests are in Asia was related to the London Based Trading house Matheson & Company?,Jardine Matheson,Jardine Matheson,True,3,1,0.188,0.938,True
136,"What man, also known as mi Sde-Or, created a military self-defense system developed for the Israel Defense Forces?","Emrich ""Imi"" Lichtenfeld",Yitzhak Aharoni,False,4,1,0.0,0.0,False
137,Do musicians Robert Fleischman and Jimmy Barnes have the same nationality?,no,No,True,5,0,0.844,0.812,False
138,"What is the name of this American multinational corporation that provides IT services, headquartered in New Jersey, that acquired Mirabeau?",Cognizant,Cognizant Technology Solutions,True,3,0,0.938,1.0,False
139,When was Fannie Lee Chaney's son born?,"May 30, 1943",1943,False,5,1,0.0,0.0,True
140,"The Canada Memorial in Green Park, London, United Kingdom, commemorates members of the Canadian Forces killed during the First and Second World Wars, the memorial was the result of lobbying and fund raising, much of it in Canada, by the former Canadian media tycoon Conrad Moffat Black, his title is what, of this British former newspaper publisher and author?",Lord Black of Crossharbour,chairman and CEO,False,4,1,0.094,0.0,True
141,WNP-3 and WNP-5 were constructed by the agency formed in which year?,1957,1999,False,4,1,0.0,0.0,True
142,"he Central Harbourfront is a waterfront site it is the result of Central and Wan Chai Reclamation, and it sits to the east of the International Finance Centre (IFC), a skyscraper and an integrated commercial development on the waterfront of the Central District, of which territory?",Hong Kong,Hong Kong,True,4,1,1.0,0.875,True
143,What city does Bundestag and Reichstag building have in common?,Berlin,Berlin,True,6,2,1.0,1.0,True
144,"Which musician, Edwyn Collins or Jimmie Ross, played the bass guitar?",Jimmie Ross,Jimmie Ross played the bass guitar,True,4,0,1.0,1.0,False
145,"what is the 3112 acre Pennsylvania state park that took over 11,000 to make due to the wave action of lake Erie called?",Presque Isle,Presque Isle State Park,True,5,2,1.0,0.75,True
146, Teri W. Odom is a member of a scientific journal first published in 2007 by who?,the American Chemical Society,The American Chemical Society (ACS),False,3,1,0.5,0.625,True
147,What forensic psychiatrist consulted on numbers cases including one for a contract killer associated with the DeCavalcante crime family?,Park Dietz,No specific forensic psychiatrist,False,8,1,0.0,0.0,False
148,"Which American singer-songwriter known as ""the Caruso of Rock"", recorded on the Monument Records label and had hits such as ""Pretty One,"" and ""Uptown""?",Roy Orbison,Paul Anka,False,9,3,0.0,0.0,False
149,"The central character of ""The Adventures of Brer Rabbit"" was later adapted into which 1946 Walt Disney Company motion picture film?","""Song of the South"".",Song of the South,True,5,1,0.938,0.75,True
150,Abraham Weinberg was a suspect in the killing of which Irish-American hitman?,"Vincent ""Mad Dog"" Coll","Thought: Based on the information gathered, Abraham Weinberg was a suspect in the killing of Vincent ""Mad Dog"" Coll, an Irish-American hitman",True,5,1,0.0,0.969,True
151, Benjamin Halfpenny was a footballer for a club that plays its home matches where?,Select Security Stadium,Edgeley Park,False,5,1,0.0,0.0,True
152,"The 2000–01 NBA season was the Jazz's 27th season in the National Basketball Association, and 22nd season in Salt Lake City, Utah, after the retirement of Jeff Hornacek, the Jazz signed free agents John Starks, and who?",Danny Manning,Danny Manning and John Starks,True,3,1,0.0,0.875,True
153,What was population of the city where the Dutch retired footballer Foeke Booy born?,"108,249","135,000",False,4,1,0.0,0.0,True
154,In what year was the company that co-developed and distributed the BlackBerry DTEK60 founded?,1984,1984,True,5,1,0.719,0.812,True
155,Who chaired the ceremony in which the film written by Canet and Philippe Lefebvre won the award for Best Film?,Isabelle Mergault,Patrick Rotman,False,6,1,0.0,0.0,False
156,"Mookychick is an independent daily online magazine and community with more than 100,000 readers a month and over 5,000 forum members, content includes analysis of current sociopolitical events, social and cultural trends, alternative fashion, movies, books, music and arts and crafts from a feminist perspective, in contrast with feminist publications and communities such as which women's lifestyle magazine that is published six times a year, and is published by Debbie Stoller and Laurie Henzel? ",BUST,Bust magazine,True,5,1,0.406,0.688,True
157,Der Mond was composed by the man who was best known for what cantata?,Carmina Burana,"Action: Finish[answer=""Il ritorno d'Ulisse in patria""]",False,5,1,0.062,0.0,True
158,Mackenzie Davis appeared in the 2013 Canadian romantic comedy film directed by whom?,Michael Dowse,Michael Dowse,True,4,1,0.0,0.906,True
159,The Developing Communities Project's first executive director was which former President?,Barack Hussein Obama II,"The Developing Communities Project's first executive director was Barack Obama, a former President",False,3,1,0.0,0.0,True
160,"Jane's Addiction and Weeping Willows, play which genre of music?",rock,for both bands,False,5,1,0.969,1.0,True
161,"Throne of Glass is a young adult high fantasy novel series, by which bestselling American fantasy author?",Sarah Janet Maas,Sarah J. Maas,False,3,1,0.0,0.0,True
162,"The largest ship in the ""Imperator"" class ocean liners had how many gross register tons?","56,551","53,290 tons",False,4,1,0.0,0.0,False
163,Axle Whitehead was a part of an American comedy-drama television series that is a remake of the British series with the same name set in what city?,Chicago,"Boston, Massachusetts",False,4,1,0.125,0.0,False
164,Were both Joseph Roth and Cid Corman authors?,yes,Yes,True,5,0,0.938,0.875,False
165,What was the event that Afghanistan competed in for the first time in 2017 officially known as?,the 23rd Summer Deaflympics,2017 Asian Indoor and Martial Arts Games,False,4,1,0.0,0.0,True
166,Who was the director of the 2001 American romantic comedy film written by Marc Klein in which Lucy Gordon had a small role?,Peter Chelsom,Nicholas Hytner,False,5,1,0.031,0.0,False
167,What hamlet and census designated place was the location of the only pay-per-view Bunkhouse Stampede?,"Uniondale, New York","Uniondale, New York",True,5,2,0.0,0.656,True
168,La Barredora was a gang that declared war on the leader of the cartel based where?,Sinaloa,"Acapulco, Guerrero",False,4,1,0.312,0.0,True
169,What year did the chairman of the Jenkins Commission die?,2003,2009,False,5,1,0.0,0.0,True
170,"Who was born first, Odysseas Elytis or Cornel West?",Odysseas Elytis,Odysseas Elytis,True,5,0,0.969,1.0,False
171," ""Let Me Out"" is a song released as the fifth single from what band's fifth studio album ""Humanz"" which was recorded in London, Paris, New York City, Chicago, and Jamaica ?",alternative rock virtual band Gorillaz,Gorillaz,False,3,1,0.0,0.0,True
